Vin,Files,Dipole_1,Dipole_2,Dipole_3,AC_1,AC_2,AC_3,Vout
-0.803904039169257,Combo10_Cf3tc_-8.68080_8.68080_ck-1.out,-1.70063,-6.15451,-0.27617,0.771801,-0.0935570000000001,0.321752,0.171599623477733
-0.723513635252331,Combo10_Cf3tc_-7.81272_7.81272_ck-1.out,-1.86117,-5.66825,-0.24307,0.729527,-0.0107169999999998,0.281188,0.157535727914952
-0.643123231335405,Combo10_Cf3tc_-6.94464_6.94464_ck-1.out,-1.97265,-5.24539,-0.23566,0.691325,0.0116489999999999,0.297026,0.144314651380871
-0.562732827418479,Combo10_Cf3tc_-6.07656_6.07656_ck-1.out,-2.10127,-4.81812,-0.23755,0.623311,0.0616720000000006,0.315017,0.131216950171448
-0.482342423501554,Combo10_Cf3tc_-5.20848_5.20848_ck-1.out,-2.20846,-4.47088,-0.25112,0.623584,0.0472029999999998,0.329214,0.120518750383384
-0.401952019584628,Combo10_Cf3tc_-4.34040_4.34040_ck-1.out,-2.31958,-4.11377,-0.26639,0.575944,0.0686649999999998,0.355387,0.109277485402546
-0.321561615667702,Combo10_Cf3tc_-3.47232_3.47232_ck-1.out,-2.43384,-3.74328,-0.28272,0.553688,0.0778169999999999,0.368489,0.0973620035062865
-0.241171211750777,Combo10_Cf3tc_-2.60424_2.60424_ck-1.out,-2.55627,-3.34052,-0.30004,0.555515,0.0948849999999996,0.349602,0.0842139733671219
-0.160780807833851,Combo10_Cf3tc_-1.73616_1.73616_ck-1.out,-2.69055,-2.88537,-0.31822,0.518616,0.149705,0.331676,0.0691045762563931
-0.0803904039169256,Combo10_Cf3tc_-0.86808_0.86808_ck-1.out,-2.84919,-2.32239,-0.33746,0.498897,0.136081,0.36502,0.0498876079612132
-0.0401952019584628,Combo10_Cf3tc_-0.43404_0.43404_ck-1.out,-2.94608,-1.95625,-0.34761,0.435015,0.160469,0.404515,0.0370796215646425
-0.0200976009792314,Combo10_Cf3tc_-0.21702_0.21702_ck-1.out,-3.00932,-1.69161,-0.3533,0.429189,0.154992,0.415818,0.0276168820696754
-0.0100488004896157,Combo10_Cf3tc_-0.10851_0.10851_ck-1.out,-3.04355,-1.54658,-0.35618,0.419564,0.170145,0.410291,0.0224282392282338
-0.00502486328049533,Combo10_Cf3tc_-0.05426_0.05426_ck-1.out,-3.0729,-1.38982,-0.35795,0.395866,0.191053,0.413086,0.0167286597055751
0,Combo10_Cf3tc_0.00000_-0.00000_ck-1.out,-3.10173,-1.22625,-0.35977,0.367218,0.206934,0.42585,0.0106730650782814
0.00502486328049533,Combo10_Cf3tc_0.05426_-0.05426_ck-1.out,-3.12048,-1.11818,-0.36143,0.351247,0.216073,0.432681,0.00676755792582862
0.0100488004896157,Combo10_Cf3tc_0.10851_-0.10851_ck-1.out,-3.16465,-0.83268,-0.36382,0.333976,0.225596,0.440427,-0.00376092109627923
0.0200976009792314,Combo10_Cf3tc_0.21702_-0.21702_ck-1.out,-3.11923,1.4085,-0.37057,0.191758,0.379473,0.428767,-0.0885927352943825
0.0401952019584628,Combo10_Cf3tc_0.43404_-0.43404_ck-1.out,-3.01565,1.92123,-0.3727,0.162109,0.416496,0.421395,-0.107946550054643
0.0803904039169256,Combo10_Cf3tc_0.86808_-0.86808_ck-1.out,-2.90499,2.38099,-0.37848,0.139988,0.443248,0.416768,-0.124854817904137
0.160780807833851,Combo10_Cf3tc_1.73616_-1.73616_ck-1.out,-2.72243,3.02241,-0.38968,0.0900399999999998,0.524496,0.385465,-0.148149818691062
0.241171211750777,Combo10_Cf3tc_2.60424_-2.60424_ck-1.out,-2.5805,3.48912,-0.4014,0.084538,0.553609,0.361855,-0.164669383415031
0.321561615667702,Combo10_Cf3tc_3.47232_-3.47232_ck-1.out,-2.45421,3.89022,-0.41401,0.0524349999999996,0.594759,0.352806,-0.178579164336584
0.401952019584628,Combo10_Cf3tc_4.34040_-4.34040_ck-1.out,-2.33994,4.24617,-0.42675,0.0350969999999999,0.627908,0.336993,-0.190911923388193
0.562732827418479,Combo10_Cf3tc_6.07656_-6.07656_ck-1.out,-2.11748,4.91958,-0.45028,0.0369679999999997,0.651317,0.311716,-0.214060517989282
0.643123231335405,Combo10_Cf3tc_6.94464_-6.94464_ck-1.out,-2.01557,5.23233,-0.46246,0.0138090000000004,0.702513,0.283678,-0.224695737301283
0.723513635252331,Combo10_Cf3tc_7.81272_-7.81272_ck-1.out,-1.91201,5.54055,-0.47286,-0.00393499999999972,0.729569,0.274366,-0.235077197226361
0.803904039169257,Combo10_Cf3tc_8.68080_-8.68080_ck-1.out,-1.81372,5.83827,-0.48375,-0.0110050000000002,0.736795,0.274211,-0.245138612690832
