73
Generated with autochar tool
 C -5.19395106 -0.03367214 -0.11154191
 C -5.87898207 0.49954473 -1.18960412
 C -7.25864121 0.51470026 -1.18737748
 C -7.96740432 -0.00666057 -0.10967254
 C -7.26586385 -0.54183592 0.96782044
 C -5.88729062 -0.55264140 0.96947930
 S -9.71887427 -0.02459460 -0.03035655
 N -3.77260190 -0.03780369 -0.10967254
 C -2.96914040 1.10424320 -0.11674678
 C -1.62501588 0.71448468 -0.08960202
 C -1.62184513 -0.73427214 -0.05325256
 C -2.98306427 -1.13680099 -0.07114126
 C -0.62818383 1.66586197 -0.04951525
 C -0.98857129 3.01036544 -0.04998807
 C -2.33772408 3.37834813 -0.08538048
 C -3.34352339 2.43493289 -0.10873205
 C -3.34432840 -2.48834278 -0.07499111
 C -2.34542949 -3.41909615 -0.05830527
 C -0.98574935 -3.03520397 -0.02603107
 C -0.63164029 -1.67445441 -0.02357342
 N 0.00000000 3.99486497 0.00000000
 C 0.02823489 5.07834713 0.88110788
 C 1.18928579 5.82520298 0.64218583
 C 1.89685262 5.17180863 -0.43516336
 C 1.13944094 4.05151248 -0.80302201
 N -0.00000000 -3.99486497 0.00000000
 C 0.01292499 -5.19260160 -0.73833597
 C 1.19870082 -5.88025290 -0.45452327
 C 1.94229229 -5.07948233 0.50002975
 C 1.18240521 -3.93284973 0.75729190
 C 1.51995094 3.23235915 -1.85450809
 C 2.69372399 3.53970278 -2.51632503
 C 3.46782744 4.63757928 -2.14795219
 C 3.07060094 5.46143568 -1.11310308
 C 1.45725993 6.94621598 1.41336001
 C 0.57058945 7.30044949 2.41066901
 C -0.56926564 6.53607340 2.64948346
 C -0.85579031 5.41523111 1.89406106
 C 1.47284458 -7.07429904 -1.08932750
 C 0.56149715 -7.56215382 -2.01265518
 C -0.59433165 -6.85208756 -2.31400774
 C -0.88331388 -5.65108851 -1.68981950
 C 1.57037962 -2.99946343 1.70488885
 C 2.77857699 -3.20553612 2.34758872
 C 3.56052035 -4.32048043 2.07149106
 C 3.14126193 -5.27281009 1.15507755
 H -5.33223537 0.89534663 -2.03468150
 H -7.78441217 0.92983174 -2.03589290
 H -7.80422519 -0.94174886 1.81654839
 H -5.34747026 -0.94969105 1.81864358
 H -9.94202120 0.56242734 -1.21169907
 H 0.41499044 1.39035866 0.01047906
 H -2.58931707 4.42833303 -0.10760022
 H -4.38170751 2.73249272 -0.12878678
 H -4.38189289 -2.78825727 -0.07203789
 H -2.59277435 -4.46803449 -0.01031630
 H 0.40931425 -1.39079757 -0.06032750
 H 0.91610765 2.39388753 -2.16969583
 H 3.01132117 2.91804306 -3.34240359
 H 4.38030096 4.85097539 -2.68682289
 H 3.66274148 6.32479272 -0.84068496
 H 2.35008979 7.53200087 1.24019505
 H 0.76379057 8.17331589 3.01833197
 H -1.24459898 6.82195275 3.44426611
 H -1.73547724 4.82512634 2.10410278
 H 2.38605653 -7.61433800 -0.88058119
 H 0.75877141 -8.49708464 -2.51795039
 H -1.27878676 -7.23758231 -3.05651474
 H -1.76665869 -5.09620674 -1.96421127
 H 0.95503516 -2.15214105 1.96430124
 H 3.11059535 -2.49073832 3.08724067
 H 4.49765584 -4.45530688 2.59300425
 H 3.73795553 -6.15496077 0.96774532

