73
Generated with autochar tool
 C -5.18736451 0.05598339 -0.54921480
 C -5.75432325 -0.47595339 -1.69928217
 C -7.13208195 -0.48339141 -1.84529594
 C -7.95018289 0.04646448 -0.84712012
 C -7.36656987 0.57904907 0.30428970
 C -5.99062979 0.57849466 0.45621566
 S -9.70196156 0.07546950 -0.95966907
 N -3.76739666 0.05604986 -0.39333113
 C -2.98368843 1.15152555 -0.27931248
 C -1.62282262 0.74327838 -0.10858565
 C -1.62755523 -0.71461109 -0.13884297
 C -2.96297164 -1.10360835 -0.31684778
 C -0.63389004 1.68139846 0.00093393
 C -0.98053305 3.05132195 -0.08297463
 C -2.33935099 3.44192256 -0.26264617
 C -3.33935788 2.51431882 -0.34668136
 C -3.33981238 -2.43492678 -0.38381935
 C -2.33500932 -3.38493508 -0.26609792
 C -0.99298920 -3.01583803 -0.10099997
 C -0.63115249 -1.67227036 -0.03770479
 N 0.00000000 4.00617877 0.00000000
 C 1.12578326 3.96735243 0.86195965
 C 1.89751035 5.11869189 0.64253706
 C 1.23166038 5.89657805 -0.40311541
 C 0.07385414 5.19448503 -0.77190511
 N -0.00000000 -4.00617877 -0.00000000
 C 0.98966095 -4.06394503 0.98752642
 C 1.89225076 -5.09335292 0.66728647
 C 1.43311050 -5.68478545 -0.58111753
 C 0.27232248 -4.98832333 -0.96193774
 C -0.73266015 5.61087629 -1.82280522
 C -0.39071185 6.79908798 -2.45790228
 C 0.73370436 7.52757340 -2.07404873
 C 1.56320594 7.07346027 -1.05282294
 C 3.03237373 5.34534841 1.40208673
 C 3.37675518 4.41702710 2.38007865
 C 2.57990827 3.29808335 2.61486036
 C 1.43136145 3.06086546 1.86865685
 C 2.95887198 -5.36237828 1.52108428
 C 3.10541131 -4.60792759 2.67402985
 C 2.18811927 -3.59932400 2.98620856
 C 1.11774844 -3.31345776 2.15199867
 C -0.40244213 -5.27861237 -2.14296209
 C 0.09784986 -6.30349809 -2.93164535
 C 1.24039784 -7.01903679 -2.55901019
 C 1.91583290 -6.71099393 -1.38927939
 H -5.11899123 -0.87873796 -2.48017166
 H -7.56951458 -0.89836503 -2.74573474
 H -7.99442582 0.98471625 1.08968230
 H -5.53964042 0.97255676 1.36027111
 H -9.79541168 -0.50710229 -2.15982606
 H 0.40709275 1.39396605 0.07019553
 H -2.58043280 4.49630835 -0.26455135
 H -4.37456271 2.81445825 -0.44874110
 H -4.37571238 -2.72847459 -0.50003330
 H -2.58371125 -4.43909307 -0.28654315
 H 0.41207285 -1.40321512 0.07795337
 H -1.58017556 5.03449131 -2.16724938
 H -1.00458089 7.15427485 -3.27702161
 H 0.97588261 8.44684122 -2.59409400
 H 2.45813460 7.62239853 -0.78345027
 H 3.63396344 6.23374549 1.24872053
 H 4.26293975 4.57594928 2.98303000
 H 2.84925987 2.60489356 3.40289392
 H 0.79823266 2.21462786 2.09767114
 H 3.66192010 -6.15509317 1.29012139
 H 3.93012675 -4.80707246 3.34831748
 H 2.31012256 -3.03361201 3.90340534
 H 0.39869941 -2.54566820 2.41257116
 H -1.28095886 -4.72288479 -2.44748318
 H -0.40925200 -6.55372771 -3.85682848
 H 1.60125043 -7.81746599 -3.19668785
 H 2.80858524 -7.25925790 -1.10901790

